id	english	chinese	partOfSpeech	note	level	academic	ceecLevel
1	a	一(個)	art.	後接母音開頭之字時為 an	初級		1
2	A.M.	上午	adv.	= a.m.= AM	初級		1
3	ability	能力、才能	noun		初級		1
4	able	能夠的、有才能的	adj.		初級		1
5	about	大約、關於；大約、幾乎、在周圍	prep./adv.		初級		1
6	above	上文、前文；前文述及的、上述的	adv./adj.		初級		1
7	above	在…上面、超過、大於	prep./adv.		初級		1
8	abroad	在國外、到國外	adv.		初級		1
9	absent	缺席的、不在場的、心不在焉的	adj.		初級		2
10	accept	收受、接受(提議、邀請)、同意、接納	verb		初級		2
11	accident	意外事故	noun		初級		2
12	achieve	達到、完成、實現	verb		初級	L2	
13	across	在...各處、遍及	prep.		初級		1
14	across	橫過、在對面	prep./adv.		初級		1
15	act	行為、作為；行事、表現	noun/verb		初級		1
16	act	表演者、(戲劇的)幕；演出、扮演	noun/verb		初級		1
17	action	行動、行為、動作	noun		初級		1
18	active	活躍的、積極的	adj.		初級		2
19	activity	活動	noun		初級		2
20	actor	演員	noun		初級		1
21	actress	女演員	noun		初級		1
22	actually	實際上、事實上	adv.		初級		
23	add	加上、增加、補充說	verb		初級		1
24	addition	加法、添加、增加的人或物	noun		初級		2
25	address	地址、網址、位址；演講、演說	noun		初級		2
26	admire	欽佩、欣賞	verb		初級		3
27	admit	承認；准許進入	verb		初級		2
28	adopt	領養、接受、採納	verb		初級		
29	adult	成年人；成年的、成熟的、僅限成人的	noun/adj.		初級	L7	2
30	advance	預先的、事先的	adj.		初級		2
31	advance	前進、發展、進展	noun		初級		2
32	advance	(使)前進、使發展、促進	verb		初級		2
33	advantage	優點、優勢、好處	noun		初級		3
34	adventure	冒險、冒險經歷、奇遇	noun		初級		3
35	advertisement	廣告	noun	= ad	初級		
36	advice	建議、忠告	noun		初級		2
37	advise	建議、忠告、正式告知	verb		初級		3
38	affair	事務、事件	noun		初級		2
39	affect	影響、(疾病)感染	verb		初級	L2	2
40	afraid	害怕的、擔憂的	adj.		初級		1
41	after	在...後面；在...以後；以後、後來	prep./conj./adv.		初級		1
42	afternoon	下午	noun		初級		1
43	again	又、再一次	adv.		初級		1
44	age	年齡、老化；時代、時期	noun		初級		1
45	age	衰老、使變老、使成熟	verb		初級		1
46	ago	在…以前	adv.		初級		1
47	agree	同意、贊成、相符	verb		初級		
48	ahead	在前面、領先、提早	adv.		初級		2
49	aid	幫助、援助；救援物資、輔助設備	noun/verb		初級	L7	2
50	aim	計劃、瞄準；目標、瞄準	verb/noun		初級		2
51	air	空氣、空中	noun		初級		1
52	air conditioner	冷氣機、空調	noun		初級		
53	aircraft	飛機	noun		初級		2
54	airline	航空公司	noun		初級		3
55	airplane	飛機	noun	= plane, aeroplane (British English)	初級		1
56	airport	機場	noun		初級		1
57	alarm	鬧鐘、鬧鈴裝置；警報、警報器	noun		初級		2
58	album	相簿、集郵簿、音樂專輯	noun		初級		2
59	alike	相似地、同樣地；相似的	adv./adj.		初級		2
60	alive	活著的、仍然存在的	adj.		初級		2
61	all	全部(的/地)	adj./pron./adv.		初級		1
62	allow	准許	verb		初級		1
63	almost	幾乎、差不多	adv.		初級		1
64	alone	單獨(的)、獨自(的)、孤獨無伴(的)	adv./adj.		初級		2
65	along	向前、一起、來到	adv.		初級		1
66	along	沿著	prep.		初級		1
67	aloud	大聲地	adv.		初級		2
68	alphabet	字母表	noun		初級		3
69	already	已經	adv.		初級		1
70	also	也、此外	adv.		初級		1
71	although	雖然	conj.		初級		1
72	altogether	全部、總共、總之	adv.		初級		2
73	always	總是、一直	adv.		初級		1
74	am	(主語為第一人稱單數)是	verb		初級		1
75	ambulance	救護車	noun		初級		3
76	America	美國、美洲	noun		初級		
77	American	美國的、美洲的；美國人	adj./noun		初級		
78	among	在...之中、在三者或以上之間	prep.		初級		2
79	amount	數量	noun		初級		2
80	ancient	古代的、古老的	adj.		初級		2
81	and	和、又、加上、接連	conj.		初級		1
82	angel	天使	noun		初級		3
83	anger	憤怒、怒氣	noun		初級		2
84	angry	生氣的、憤怒的	adj.		初級		1
85	animal	動物	noun		初級		1
86	ankle	腳踝	noun		初級		2
87	another	另一個、再一個；另外的、再一	pron./adj.		初級		1
88	answer	答案、回答；答覆、作答	noun/verb		初級		1
89	ant	螞蟻	noun		初級		1
90	any	(用於否定或疑問句)稍、根本	adv.		初級		1
91	any	任何一個、一些；任何的、絲毫的	pron./adj.		初級		1
92	anybody	任何人	pron.	= anyone	初級		1
93	anymore	再也不、不再	adv.	=any more	初級		
94	anyone	任何人	pron.	= anybody	初級		1
95	anything	任何東西、任何事情	pron.		初級		1
96	anytime	在任何時候	adv.	=any time	初級		2
97	anyway	無論如何、不管怎樣、反正	adv.		初級		2
98	anywhere	任何地方	adv.	= anyplace	初級		
99	apartment	公寓	noun	= flat (British English)	初級		1
100	apologize	道歉	verb	= apoligise (British English)	初級		3
101	appear	出現、顯現	verb		初級		1
102	appear	看來好像、似乎	verb	=seem	初級		1
103	appearance	出現、公開露面；外貌、外表	noun		初級		2
104	apple	蘋果	noun		初級		1
105	apply	申請、請求；應用；適用；塗、敷	verb		初級		2
106	appreciate	欣賞、賞識；感激、感謝	verb		初級	L8	2
107	April	四月	noun	= Apr.	初級		
108	are	(主詞為we、you、they的現在式)是	verb		初級		
109	area	地區、範圍、面積	noun		初級	L1	1
110	argue	爭吵、爭論	verb		初級		
111	arm	手臂、袖子、扶手	noun		初級		1
112	arm	武裝、備戰	verb		初級		1
113	armchair	扶手椅	noun		初級		
114	army	軍隊、陸軍；大批、大群	noun		初級		2
115	around	圍繞、在...附近、大約	prep./adv.		初級		1
116	arrange	安排、籌劃；排列、佈置	verb		初級		
117	arrest	逮捕	verb/noun		初級		3
118	arrive	到達、來臨	verb		初級		1
119	art	藝術、美術	noun		初級		1
120	article	文章、報導；物品、物件、(語法)冠詞	noun		初級		2
121	artist	藝術家、畫家	noun		初級		2
122	as	像...一樣、和...一樣	adv.		初級		1
123	as	因為、當...時、以...的方式	conj.		初級		1
124	as	作為、以...的身分	prep.		初級		1
125	Asia	亞洲	noun		初級		
126	Asian	亞洲的、亞洲人的；亞洲人	adj./noun		初級		
127	ask	詢問、請求	verb		初級		1
128	asleep	睡著的	adj.		初級		2
129	assistant	助手、助理；(常用於頭銜)助理的、副的	noun/adj.		初級		3
130	assume	假定為、假設	verb		初級	L1	3
131	at	在...時刻、在...地點或位置、對著	prep.		初級		1
132	attack	攻擊、進攻、抨擊	noun/verb		初級		1
133	attend	出席、參加	verb		初級		2
134	attention	注意力、關注	noun		初級		2
135	audience	聽眾、觀眾	noun		初級		3
136	August	八月	noun	= Aug.	初級		
137	aunt	姑姑、阿姨、舅媽	noun	= auntie= aunty	初級		1
138	Australia	澳洲	noun		初級		
139	autumn	秋天	noun	= fall	初級		
140	available	有空的、可獲得的	adj.		初級	L1	2
141	avoid	避免、避開	verb		初級		2
142	aware	意識到、發覺、有...意識的	adj.		初級	L5	3
143	away	去別處、(距此)...遠、逐漸消失	adv.		初級		1
144	baby	嬰兒、幼稚的人、(暱稱)寶貝	noun		初級		1
145	babysit	當臨時保姆	verb	= baby-sit	初級		
146	babysitter	保姆	noun	= baby-sitter=baby sitter	初級		
147	back	回原處、返回、向後、在背面	adv.		初級		1
148	back	背部、後面；背部的、後面的	noun/adj.		初級		1
